provincia,anio,monto_nominal,ipc_promedio_anual,monto_real_base2016
La Pampa,2003,238.3461,8.396631393694841,2838.5919165032983
La Pampa,2004,369.2106,8.767402951109663,4211.174073541016
La Pampa,2005,461.7947,9.612726384123917,4803.992972926868
La Pampa,2006,569.2024,10.660302377959722,5339.45829882679
La Pampa,2007,756.8688,12.18514230002,6211.407149498432
La Pampa,2008,938.7714,14.979653147032298,6266.976883813796
La Pampa,2009,996.2343,17.456561530567843,5706.933168112824
La Pampa,2010,1331.2602,21.376348487281444,6227.725005475451
La Pampa,2011,1929.3274,26.570964534575943,7261.036374834749
La Pampa,2012,2249.2904,32.79133180641779,6859.405446776571
La Pampa,2013,2942.0224,40.85103331144704,7201.8310468920345
La Pampa,2014,4046.23037,56.976538710053426,7101.572790496747
La Pampa,2015,5220.3501,73.66153516686742,7086.9417643471625
La Pampa,2016,6868.1301,100.0,6868.1301
La Pampa,2017,9412.6602,112.88710833333333,8338.117911751513
La Pampa,2018,15754.7476,151.581675,10393.570067094193
La Pampa,2019,23879.411,232.75109166666667,10259.634371210073
La Pampa,2020,32440.1328,330.5416833333333,9814.233555314078
La Pampa,2021,53541.7772,490.55485833333336,10914.53408124606
La Pampa,2022,101942.3706,845.8674583333333,12051.813744066189
La Pampa,2023,223862.4866,1975.006925,11334.769704668252
La Pampa,2024,675741.905,6317.741325,10695.94132203569
La Pampa,2025,922421.2911,8966.166533333333,10287.800116925482
La Rioja,2003,262.7919,8.396631393694841,3129.730098636156
La Rioja,2004,407.0784,8.767402951109663,4643.0898895604805
La Rioja,2005,509.1583,9.612726384123917,5296.710627704021
La Rioja,2006,625.9159,10.660302377959722,5871.464784095498
La Rioja,2007,831.2649,12.18514230002,6821.954799810878
La Rioja,2008,1029.5263,14.979653147032298,6872.831365951655
La Rioja,2009,1085.892,17.456561530567843,6220.537750796547
La Rioja,2010,1447.1057,21.376348487281444,6769.658067938978
La Rioja,2011,2127.2072,26.570964534575943,8005.758305205419
La Rioja,2012,2454.508,32.79133180641779,7485.234251814113
La Rioja,2013,3210.6385,40.85103331144704,7859.381366248902
